"rcp","region","depth_cat","vuln_cat","area","ocean"
2.6,"Arctic Archipelago","Coastal","High",78.3760644574938,"Arctic"
2.6,"Arctic Archipelago","Coastal","Moderate",47196.5032317627,"Arctic"
2.6,"Arctic Archipelago","Deep","Moderate",120622.927961423,"Arctic"
2.6,"Arctic Archipelago","Shelf","Moderate",61101.8433893253,"Arctic"
2.6,"Arctic Basin","Coastal","Moderate",1776.23926901474,"Arctic"
2.6,"Arctic Basin","Deep","Moderate",478845.098445236,"Arctic"
2.6,"Arctic Basin","Shelf","Moderate",15541.6323491336,"Arctic"
2.6,"Eastern Arctic","Coastal","High",284.804407358809,"Arctic"
2.6,"Eastern Arctic","Coastal","Moderate",67401.2384447466,"Arctic"
2.6,"Eastern Arctic","Deep","Moderate",533378.331831767,"Arctic"
2.6,"Eastern Arctic","Shelf","Moderate",128678.017561309,"Arctic"
2.6,"Gulf of Saint Lawrence","Coastal","High",1289.38963986569,"Atlantic"
2.6,"Gulf of Saint Lawrence","Coastal","Moderate",53334.3363427724,"Atlantic"
2.6,"Gulf of Saint Lawrence","Deep","Moderate",71771.6107130857,"Atlantic"
2.6,"Gulf of Saint Lawrence","Shelf","Moderate",100793.151902817,"Atlantic"
2.6,"Hudson Bay Complex","Coastal","High",10999.1590443159,"Arctic"
2.6,"Hudson Bay Complex","Coastal","Moderate",357866.568963462,"Arctic"
2.6,"Hudson Bay Complex","Deep","Moderate",130990.60694174,"Arctic"
2.6,"Hudson Bay Complex","Shelf","High",415.604959011343,"Arctic"
2.6,"Hudson Bay Complex","Shelf","Moderate",690886.933603043,"Arctic"
2.6,"Newfoundland-Labrador Shelves","Coastal","Moderate",56173.1518010746,"Atlantic"
2.6,"Newfoundland-Labrador Shelves","Deep","Moderate",605622.756407131,"Atlantic"
2.6,"Newfoundland-Labrador Shelves","Deep","Negligible",10438.1617208511,"Atlantic"
2.6,"Newfoundland-Labrador Shelves","Shelf","Moderate",341679.488597944,"Atlantic"
2.6,"Northern Shelf","Coastal","High",1894.54864065451,"Pacific"
2.6,"Northern Shelf","Coastal","Moderate",25132.302305516,"Pacific"
2.6,"Northern Shelf","Deep","Moderate",32533.9794121263,"Pacific"
2.6,"Northern Shelf","Shelf","High",1432.50350404388,"Pacific"
2.6,"Northern Shelf","Shelf","Moderate",25096.4793417932,"Pacific"
2.6,"Offshore Pacific","Deep","Moderate",308526.790426116,"Pacific"
2.6,"Offshore Pacific","Deep","Negligible",1333.20090845002,"Pacific"
2.6,"Offshore Pacific","Shelf","High",1.43150110253334,"Pacific"
2.6,"Offshore Pacific","Shelf","Moderate",637.458574831822,"Pacific"
2.6,"Scotian Shelf","Coastal","Moderate",27171.9890281524,"Atlantic"
2.6,"Scotian Shelf","Deep","Moderate",213428.28759722,"Atlantic"
2.6,"Scotian Shelf","Deep","Negligible",17044.728802191,"Atlantic"
2.6,"Scotian Shelf","Shelf","Moderate",144673.560919661,"Atlantic"
2.6,"Southern Shelf","Coastal","High",493.476715677672,"Pacific"
2.6,"Southern Shelf","Coastal","Moderate",2226.4017636202,"Pacific"
2.6,"Southern Shelf","Deep","Moderate",11411.7525800362,"Pacific"
2.6,"Southern Shelf","Shelf","High",232.021608708943,"Pacific"
2.6,"Southern Shelf","Shelf","Moderate",10842.9286484575,"Pacific"
2.6,"Strait of Georgia","Coastal","High",1958.48134786775,"Pacific"
2.6,"Strait of Georgia","Coastal","Moderate",1240.58087982537,"Pacific"
2.6,"Strait of Georgia","Deep","High",465.55950464592,"Pacific"
2.6,"Strait of Georgia","Shelf","High",425.011630774695,"Pacific"
2.6,"Strait of Georgia","Shelf","Moderate",340.270096790377,"Pacific"
2.6,"Western Arctic","Coastal","High",867.041495882922,"Arctic"
2.6,"Western Arctic","Coastal","Moderate",168805.657313061,"Arctic"
2.6,"Western Arctic","Deep","Moderate",175551.833189056,"Arctic"
2.6,"Western Arctic","Shelf","Moderate",152421.824230646,"Arctic"
8.5,"Arctic Archipelago","Coastal","High",1422.07441659976,"Arctic"
8.5,"Arctic Archipelago","Coastal","Moderate",45852.8048796205,"Arctic"
8.5,"Arctic Archipelago","Deep","High",632.2098510457,"Arctic"
8.5,"Arctic Archipelago","Deep","Moderate",119991.718110377,"Arctic"
8.5,"Arctic Archipelago","Shelf","High",616.833180336977,"Arctic"
8.5,"Arctic Archipelago","Shelf","Moderate",60486.0102089883,"Arctic"
8.5,"Arctic Basin","Coastal","Moderate",1776.23926901474,"Arctic"
8.5,"Arctic Basin","Deep","Moderate",478845.098445236,"Arctic"
8.5,"Arctic Basin","Shelf","Moderate",15541.6323491336,"Arctic"
8.5,"Eastern Arctic","Coastal","High",2222.46547603997,"Arctic"
8.5,"Eastern Arctic","Coastal","Moderate",65463.5773760654,"Arctic"
8.5,"Eastern Arctic","Deep","High",2183.90814497678,"Arctic"
8.5,"Eastern Arctic","Deep","Moderate",531195.42368679,"Arctic"
8.5,"Eastern Arctic","Shelf","High",2131.05741719308,"Arctic"
8.5,"Eastern Arctic","Shelf","Moderate",126547.960144116,"Arctic"
8.5,"Gulf of Saint Lawrence","Coastal","High",7499.6131884979,"Atlantic"
8.5,"Gulf of Saint Lawrence","Coastal","Moderate",47124.1127941402,"Atlantic"
8.5,"Gulf of Saint Lawrence","Deep","Moderate",71771.6107130857,"Atlantic"
8.5,"Gulf of Saint Lawrence","Shelf","High",2466.27797983996,"Atlantic"
8.5,"Gulf of Saint Lawrence","Shelf","Moderate",98327.8739229769,"Atlantic"
8.5,"Hudson Bay Complex","Coastal","High",114853.436208403,"Arctic"
8.5,"Hudson Bay Complex","Coastal","Moderate",254012.291799375,"Arctic"
8.5,"Hudson Bay Complex","Deep","High",9652.942341315,"Arctic"
8.5,"Hudson Bay Complex","Deep","Moderate",121338.664600425,"Arctic"
8.5,"Hudson Bay Complex","Shelf","High",189072.593347833,"Arctic"
8.5,"Hudson Bay Complex","Shelf","Moderate",502229.945214221,"Arctic"
8.5,"Newfoundland-Labrador Shelves","Coastal","Moderate",56173.1518010746,"Atlantic"
8.5,"Newfoundland-Labrador Shelves","Deep","Moderate",616059.918127982,"Atlantic"
8.5,"Newfoundland-Labrador Shelves","Shelf","Moderate",341679.488597944,"Atlantic"
8.5,"Northern Shelf","Coastal","High",6557.79289992925,"Pacific"
8.5,"Northern Shelf","Coastal","Moderate",20469.0580462413,"Pacific"
8.5,"Northern Shelf","Deep","High",471.970540105988,"Pacific"
8.5,"Northern Shelf","Deep","Moderate",32063.0088720203,"Pacific"
8.5,"Northern Shelf","Shelf","High",3610.41478182732,"Pacific"
8.5,"Northern Shelf","Shelf","Moderate",22918.5680640098,"Pacific"
8.5,"Offshore Pacific","Deep","Moderate",309858.991334566,"Pacific"
8.5,"Offshore Pacific","Shelf","High",27.6307661118762,"Pacific"
8.5,"Offshore Pacific","Shelf","Moderate",611.259309822479,"Pacific"
8.5,"Scotian Shelf","Coastal","Moderate",27171.9890281524,"Atlantic"
