site,variable,rcp,p1_mean,p1_var,p2_mean,p2_var,p3_mean,p3_var,p4_mean,p4_var
Gully MPA,SST,2.6,1.07,0.77,1.43,0.88,1.49,1.21,1.49,1.23
Gully MPA,SST,4.5,0.99,0.64,1.5,0.86,1.89,1.28,2.2,1.59
Gully MPA,SST,7,1.06,0.65,1.63,0.96,2.22,1.33,2.94,1.79
Gully MPA,SST,8.5,0.95,0.7,1.98,1.13,2.93,1.52,3.93,1.92
Gully MPA,BT,2.6,0.86,0.67,1.33,0.93,1.83,1.18,1.98,1.27
Gully MPA,BT,4.5,0.94,0.77,1.35,0.94,2,1.16,2.33,1.37
Gully MPA,BT,7,0.92,0.62,1.45,0.93,1.94,1.11,2.61,1.31
Gully MPA,BT,8.5,0.83,0.6,1.56,0.95,2.26,1.26,3.07,1.48
Gully MPA,SSS,2.6,-0.04,0.7,-0.39,0.81,-0.51,0.99,-0.66,1.15
Gully MPA,SSS,4.5,-0.07,0.67,-0.39,0.82,-0.61,1.02,-0.71,1.02
Gully MPA,SSS,7,-0.03,0.67,-0.32,0.76,-0.76,1.18,-0.99,1.02
Gully MPA,SSS,8.5,-0.15,0.72,-0.42,0.8,-0.76,1.01,-1.12,1.06
Gully MPA,BS,2.6,0.1,0.34,0.11,0.48,0.2,0.48,0.23,0.53
Gully MPA,BS,4.5,0.1,0.44,0.11,0.47,0.19,0.51,0.23,0.52
Gully MPA,BS,7,0.12,0.39,0.15,0.45,0.12,0.58,0.14,0.62
Gully MPA,BS,8.5,0.09,0.38,0.14,0.43,0.18,0.52,0.19,0.63
Gully MPA,MLD,2.6,-0.68,1.04,-1.37,1.75,-1.45,1.81,-1.27,1.78
Gully MPA,MLD,4.5,-0.69,1.22,-1.31,1.89,-1.73,2.39,-1.76,1.61
Gully MPA,MLD,7,-0.87,1.42,-1.63,1.66,-2.18,1.88,-2.44,1.68
Gully MPA,MLD,8.5,-0.88,1.46,-1.83,1.56,-2.26,1.77,-2.81,1.92
Gully MPA,Bspeed,2.6,-0.004,0.012,-0.007,0.013,-0.007,0.015,-0.005,0.014
Gully MPA,Bspeed,4.5,-0.003,0.009,-0.006,0.014,-0.007,0.015,-0.005,0.016
Gully MPA,Bspeed,7,-0.002,0.011,-0.005,0.013,-0.005,0.016,-0.006,0.016
Gully MPA,Bspeed,8.5,-0.004,0.01,-0.006,0.015,-0.006,0.018,-0.007,0.018
Laurentian Channel,SST,2.6,1.13,0.6,1.54,0.78,1.68,1,1.74,0.99
